Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
18/08/2023,19:30,Werder Bremen,Bayern Munich,0,4,A,6,25,1,10,16,11,0,6,2,1,0,0
19/08/2023,14:30,Augsburg,M'gladbach,4,4,D,20,9,8,6,9,14,8,7,1,2,0,0
19/08/2023,14:30,Hoffenheim,Freiburg,1,2,A,24,17,5,8,9,9,4,2,0,1,0,0
19/08/2023,14:30,Leverkusen,RB Leipzig,3,2,H,11,13,7,6,13,10,4,5,1,2,0,0
19/08/2023,14:30,Stuttgart,Bochum,5,0,H,19,4,9,1,5,12,7,0,1,1,0,0
19/08/2023,14:30,Wolfsburg,Heidenheim,2,0,H,18,13,8,1,10,9,1,7,3,0,0,0
19/08/2023,17:30,Dortmund,FC Koln,1,0,H,12,11,2,4,13,11,6,3,1,0,0,0
20/08/2023,14:30,Union Berlin,Mainz,4,1,H,12,9,7,3,15,16,3,1,1,5,0,0
20/08/2023,16:30,Ein Frankfurt,Darmstadt,1,0,H,10,11,4,2,9,14,7,3,2,3,0,0
25/08/2023,19:30,RB Leipzig,Stuttgart,5,1,H,20,8,11,3,12,10,4,4,1,1,0,0
26/08/2023,14:30,Bochum,Dortmund,1,1,D,17,13,6,3,21,7,5,4,2,1,0,0
26/08/2023,14:30,Darmstadt,Union Berlin,1,4,A,18,12,6,6,15,12,3,5,2,2,0,1
26/08/2023,14:30,FC Koln,Wolfsburg,1,2,A,14,9,2,6,6,10,6,1,1,5,0,0
26/08/2023,14:30,Freiburg,Werder Bremen,1,0,H,23,16,6,2,9,8,5,5,2,2,0,0
26/08/2023,14:30,Heidenheim,Hoffenheim,2,3,A,19,16,9,6,13,9,10,6,1,5,0,0
26/08/2023,17:30,M'gladbach,Leverkusen,0,3,A,13,24,2,10,7,8,5,8,2,3,0,0
27/08/2023,14:30,Mainz,Ein Frankfurt,1,1,D,13,8,7,2,23,12,5,4,3,4,0,1
27/08/2023,16:30,Bayern Munich,Augsburg,3,1,H,19,11,6,2,13,8,10,4,1,2,0,0
01/09/2023,19:30,Dortmund,Heidenheim,2,2,D,20,15,9,6,9,22,3,6,3,3,0,0
02/09/2023,14:30,Augsburg,Bochum,2,2,D,11,22,3,9,15,13,3,5,2,2,0,0
02/09/2023,14:30,Hoffenheim,Wolfsburg,3,1,H,11,14,5,7,12,15,3,3,2,2,0,0
02/09/2023,14:30,Leverkusen,Darmstadt,5,1,H,24,5,13,1,8,11,4,2,3,2,0,0
02/09/2023,14:30,Stuttgart,Freiburg,5,0,H,13,11,6,5,9,10,2,4,1,1,0,0
02/09/2023,14:30,Werder Bremen,Mainz,4,0,H,12,12,6,3,18,14,1,7,2,2,0,0
02/09/2023,17:30,M'gladbach,Bayern Munich,1,2,A,8,25,3,9,5,20,1,15,0,2,0,0
03/09/2023,14:30,Ein Frankfurt,FC Koln,1,1,D,12,6,4,2,10,10,8,1,1,3,0,0
03/09/2023,16:30,Union Berlin,RB Leipzig,0,3,A,4,15,1,8,16,9,3,7,3,1,1,0
15/09/2023,19:30,Bayern Munich,Leverkusen,2,2,D,15,12,9,5,6,6,7,4,0,3,0,0
16/09/2023,14:30,FC Koln,Hoffenheim,1,3,A,17,17,7,5,15,14,13,4,4,4,1,0
16/09/2023,14:30,Freiburg,Dortmund,2,4,A,14,14,4,6,12,16,6,8,2,3,1,0
16/09/2023,14:30,Mainz,Stuttgart,1,3,A,15,16,3,6,12,9,6,4,1,2,0,0
16/09/2023,14:30,RB Leipzig,Augsburg,3,0,H,9,16,6,4,16,12,1,6,0,0,0,0
16/09/2023,14:30,Wolfsburg,Union Berlin,2,1,H,8,17,3,5,6,8,3,7,1,0,0,0
16/09/2023,17:30,Bochum,Ein Frankfurt,1,1,D,24,8,10,6,13,14,8,2,3,2,0,0
17/09/2023,14:30,Heidenheim,Werder Bremen,4,2,H,19,11,4,4,21,9,10,1,1,1,0,0
17/09/2023,16:30,Darmstadt,M'gladbach,3,3,D,15,21,8,10,12,8,6,6,1,1,1,0
22/09/2023,19:30,Stuttgart,Darmstadt,3,1,H,18,3,11,0,7,12,5,4,1,6,0,0
23/09/2023,14:30,Augsburg,Mainz,2,1,H,6,13,3,3,16,14,3,4,2,3,1,0
23/09/2023,14:30,Bayern Munich,Bochum,7,0,H,26,4,16,1,8,10,8,1,0,1,0,0
23/09/2023,14:30,Dortmund,Wolfsburg,1,0,H,18,8,4,2,9,14,5,3,0,1,0,0
23/09/2023,14:30,M'gladbach,RB Leipzig,0,1,A,13,8,1,4,14,7,11,6,1,1,0,0
23/09/2023,14:30,Union Berlin,Hoffenheim,0,2,A,22,11,6,4,11,13,11,6,1,3,0,0
23/09/2023,17:30,Werder Bremen,FC Koln,2,1,H,17,13,6,5,18,16,9,8,2,1,0,0
24/09/2023,14:30,Leverkusen,Heidenheim,4,1,H,20,1,10,1,9,10,7,2,1,1,0,0
24/09/2023,16:30,Ein Frankfurt,Freiburg,0,0,D,13,9,5,2,12,5,7,3,4,2,0,0
29/09/2023,19:30,Hoffenheim,Dortmund,1,3,A,15,6,5,5,14,16,4,3,3,4,0,1
30/09/2023,14:30,Bochum,M'gladbach,1,3,A,23,25,5,9,12,12,5,10,2,3,0,0
30/09/2023,14:30,FC Koln,Stuttgart,0,2,A,14,18,5,4,16,8,8,4,2,1,0,0
30/09/2023,14:30,Heidenheim,Union Berlin,1,0,H,9,19,4,8,11,14,5,7,1,2,0,0
30/09/2023,14:30,Mainz,Leverkusen,0,3,A,10,6,3,3,13,11,3,1,4,1,0,0
30/09/2023,14:30,Wolfsburg,Ein Frankfurt,2,0,H,19,7,7,3,11,18,7,4,1,6,0,1
30/09/2023,17:30,RB Leipzig,Bayern Munich,2,2,D,7,11,2,5,10,11,5,1,2,5,0,0
01/10/2023,14:30,Darmstadt,Werder Bremen,4,2,H,14,10,5,7,19,19,2,4,3,2,0,0
01/10/2023,16:30,Freiburg,Augsburg,2,0,H,7,13,3,4,13,17,2,3,2,2,0,0
06/10/2023,19:30,M'gladbach,Mainz,2,2,D,20,13,9,7,9,9,10,3,3,1,0,0
07/10/2023,14:30,Augsburg,Darmstadt,1,2,A,17,17,3,5,13,12,4,4,4,2,0,0
07/10/2023,14:30,Dortmund,Union Berlin,4,2,H,12,12,7,6,7,15,4,6,1,1,0,0
07/10/2023,14:30,RB Leipzig,Bochum,0,0,D,18,9,5,2,10,13,9,1,2,4,0,0
