Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
23/08/2024,19:30,M'gladbach,Leverkusen,2,3,A,14.0,25.0,7.0,9.0,11.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0
24/08/2024,14:30,Augsburg,Werder Bremen,2,2,D,10.0,12.0,3.0,6.0,11.0,10.0,4.0,2.0,3.0,1.0,0.0,0.0
24/08/2024,14:30,Freiburg,Stuttgart,3,1,H,15.0,9.0,4.0,2.0,7.0,10.0,6.0,3.0,2.0,1.0,0.0,0.0
24/08/2024,14:30,Hoffenheim,Holstein Kiel,3,2,H,20.0,15.0,8.0,6.0,8.0,14.0,8.0,6.0,2.0,3.0,0.0,1.0
24/08/2024,14:30,Mainz,Union Berlin,1,1,D,15.0,15.0,3.0,4.0,9.0,15.0,8.0,9.0,1.0,3.0,0.0,0.0
24/08/2024,14:30,RB Leipzig,Bochum,1,0,H,12.0,10.0,3.0,4.0,9.0,17.0,9.0,3.0,1.0,3.0,1.0,0.0
24/08/2024,17:30,Dortmund,Ein Frankfurt,2,0,H,17.0,7.0,5.0,2.0,6.0,3.0,7.0,7.0,0.0,1.0,0.0,0.0
25/08/2024,14:30,Wolfsburg,Bayern Munich,2,3,A,11.0,14.0,2.0,8.0,13.0,11.0,1.0,7.0,2.0,3.0,0.0,0.0
25/08/2024,16:30,St Pauli,Heidenheim,0,2,A,11.0,6.0,3.0,3.0,10.0,15.0,4.0,2.0,2.0,3.0,0.0,0.0
30/08/2024,19:30,Union Berlin,St Pauli,1,0,H,10.0,8.0,5.0,2.0,10.0,11.0,5.0,4.0,3.0,1.0,0.0,0.0
31/08/2024,14:30,Bochum,M'gladbach,0,2,A,16.0,15.0,4.0,6.0,9.0,10.0,3.0,4.0,1.0,0.0,0.0,0.0
31/08/2024,14:30,Ein Frankfurt,Hoffenheim,3,1,H,17.0,10.0,7.0,3.0,10.0,10.0,1.0,4.0,0.0,3.0,0.0,0.0
31/08/2024,14:30,Holstein Kiel,Wolfsburg,0,2,A,12.0,12.0,5.0,4.0,17.0,14.0,1.0,7.0,4.0,7.0,0.0,0.0
31/08/2024,14:30,Stuttgart,Mainz,3,3,D,28.0,9.0,13.0,7.0,6.0,12.0,11.0,2.0,4.0,2.0,0.0,0.0
31/08/2024,14:30,Werder Bremen,Dortmund,0,0,D,5.0,9.0,1.0,4.0,11.0,16.0,5.0,6.0,2.0,7.0,0.0,1.0
31/08/2024,17:30,Leverkusen,RB Leipzig,2,3,A,27.0,10.0,10.0,4.0,7.0,8.0,18.0,2.0,3.0,1.0,0.0,0.0
01/09/2024,14:30,Heidenheim,Augsburg,4,0,H,17.0,15.0,9.0,1.0,15.0,11.0,5.0,6.0,0.0,3.0,0.0,0.0
01/09/2024,16:30,Bayern Munich,Freiburg,2,0,H,11.0,8.0,4.0,4.0,13.0,12.0,2.0,4.0,1.0,0.0,0.0,0.0
13/09/2024,19:30,Dortmund,Heidenheim,4,2,H,13.0,11.0,7.0,4.0,13.0,18.0,8.0,1.0,2.0,2.0,0.0,0.0
14/09/2024,14:30,Freiburg,Bochum,2,1,H,27.0,13.0,9.0,2.0,5.0,16.0,5.0,6.0,0.0,3.0,0.0,0.0
14/09/2024,14:30,Hoffenheim,Leverkusen,1,4,A,14.0,20.0,5.0,8.0,9.0,10.0,4.0,12.0,2.0,2.0,0.0,0.0
14/09/2024,14:30,M'gladbach,Stuttgart,1,3,A,15.0,12.0,7.0,7.0,14.0,12.0,6.0,2.0,2.0,2.0,0.0,0.0
14/09/2024,14:30,RB Leipzig,Union Berlin,0,0,D,16.0,11.0,3.0,3.0,9.0,19.0,6.0,5.0,2.0,3.0,0.0,0.0
14/09/2024,14:30,Wolfsburg,Ein Frankfurt,1,2,A,17.0,15.0,4.0,7.0,7.0,18.0,5.0,4.0,1.0,2.0,0.0,0.0
14/09/2024,17:30,Holstein Kiel,Bayern Munich,1,6,A,5.0,23.0,1.0,13.0,12.0,11.0,2.0,10.0,0.0,1.0,0.0,0.0
15/09/2024,14:30,Augsburg,St Pauli,3,1,H,18.0,12.0,10.0,3.0,12.0,10.0,7.0,7.0,4.0,3.0,0.0,0.0
15/09/2024,16:30,Mainz,Werder Bremen,1,2,A,11.0,11.0,5.0,5.0,12.0,7.0,10.0,4.0,3.0,1.0,0.0,1.0
20/09/2024,19:30,Augsburg,Mainz,2,3,A,30.0,5.0,9.0,3.0,7.0,12.0,14.0,1.0,3.0,5.0,1.0,1.0
21/09/2024,14:30,Bochum,Holstein Kiel,2,2,D,14.0,13.0,3.0,4.0,20.0,9.0,2.0,5.0,4.0,1.0,0.0,0.0
21/09/2024,14:30,Heidenheim,Freiburg,0,3,A,7.0,14.0,2.0,5.0,6.0,7.0,3.0,9.0,1.0,1.0,0.0,0.0
21/09/2024,14:30,Union Berlin,Hoffenheim,2,1,H,12.0,6.0,2.0,3.0,17.0,18.0,5.0,5.0,3.0,3.0,0.0,0.0
21/09/2024,14:30,Werder Bremen,Bayern Munich,0,5,A,0.0,25.0,0.0,7.0,4.0,13.0,1.0,4.0,0.0,3.0,0.0,0.0
21/09/2024,17:30,Ein Frankfurt,M'gladbach,2,0,H,14.0,22.0,4.0,7.0,10.0,12.0,8.0,5.0,1.0,1.0,0.0,0.0
22/09/2024,14:30,Leverkusen,Wolfsburg,4,3,H,20.0,8.0,7.0,4.0,6.0,14.0,6.0,2.0,4.0,5.0,0.0,1.0
22/09/2024,16:30,Stuttgart,Dortmund,5,1,H,16.0,6.0,9.0,3.0,10.0,6.0,6.0,4.0,1.0,3.0,0.0,0.0
22/09/2024,18:30,St Pauli,RB Leipzig,0,0,D,15.0,10.0,4.0,5.0,6.0,9.0,3.0,1.0,2.0,1.0,0.0,0.0
27/09/2024,19:30,Dortmund,Bochum,4,2,H,23.0,10.0,8.0,6.0,12.0,9.0,11.0,0.0,2.0,0.0,0.0,0.0
28/09/2024,14:30,Freiburg,St Pauli,0,3,A,6.0,10.0,2.0,4.0,7.0,18.0,4.0,2.0,3.0,3.0,0.0,0.0
28/09/2024,14:30,Mainz,Heidenheim,0,2,A,7.0,14.0,2.0,7.0,10.0,10.0,7.0,6.0,4.0,4.0,1.0,1.0
28/09/2024,14:30,M'gladbach,Union Berlin,1,0,H,8.0,9.0,3.0,3.0,10.0,12.0,2.0,4.0,3.0,1.0,0.0,0.0
28/09/2024,14:30,RB Leipzig,Augsburg,4,0,H,14.0,7.0,7.0,1.0,9.0,13.0,8.0,5.0,1.0,2.0,0.0,0.0
28/09/2024,14:30,Wolfsburg,Stuttgart,2,2,D,5.0,17.0,2.0,5.0,20.0,10.0,1.0,3.0,5.0,2.0,0.0,1.0
28/09/2024,17:30,Bayern Munich,Leverkusen,1,1,D,18.0,3.0,3.0,3.0,11.0,15.0,6.0,1.0,1.0,3.0,0.0,0.0
29/09/2024,14:30,Holstein Kiel,Ein Frankfurt,2,4,A,10.0,18.0,5.0,10.0,12.0,13.0,4.0,9.0,1.0,3.0,0.0,0.0
29/09/2024,16:30,Hoffenheim,Werder Bremen,3,4,A,10.0,18.0,5.0,10.0,12.0,19.0,2.0,6.0,3.0,3.0,1.0,0.0
04/10/2024,19:30,Augsburg,M'gladbach,2,1,H,13.0,11.0,5.0,5.0,13.0,15.0,6.0,5.0,2.0,4.0,0.0,0.0
05/10/2024,14:30,Bochum,Wolfsburg,1,3,A,17.0,15.0,5.0,5.0,11.0,12.0,7.0,6.0,1.0,2.0,0.0,0.0
05/10/2024,14:30,Leverkusen,Holstein Kiel,2,2,D,24.0,8.0,7.0,4.0,5.0,9.0,12.0,3.0,2.0,2.0,0.0,0.0
05/10/2024,14:30,Union Berlin,Dortmund,2,1,H,13.0,9.0,5.0,5.0,15.0,17.0,3.0,3.0,4.0,4.0,0.0,0.0
05/10/2024,14:30,Werder Bremen,Freiburg,0,1,A,11.0,13.0,3.0,3.0,7.0,9.0,7.0,5.0,1.0,2.0,0.0,0.0
05/10/2024,17:30,St Pauli,Mainz,0,3,A,17.0,8.0,4.0,4.0,12.0,16.0,2.0,2.0,0.0,3.0,0.0,0.0
06/10/2024,14:30,Heidenheim,RB Leipzig,0,1,A,15.0,12.0,4.0,2.0,12.0,13.0,3.0,2.0,2.0,2.0,0.0,0.0
06/10/2024,16:30,Ein Frankfurt,Bayern Munich,3,3,D,5.0,22.0,4.0,13.0,10.0,6.0,0.0,11.0,1.0,1.0,0.0,0.0
06/10/2024,18:30,Stuttgart,Hoffenheim,1,1,D,18.0,7.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,4.0,0.0,0.0
18/10/2024,19:30,Dortmund,St Pauli,2,1,H,20.0,10.0,7.0,3.0,8.0,7.0,7.0,1.0,2.0,1.0,0.0,0.0
19/10/2024,14:30,Freiburg,Augsburg,3,1,H,15.0,9.0,6.0,3.0,11.0,7.0,5.0,4.0,1.0,1.0,0.0,0.0
19/10/2024,14:30,Hoffenheim,Bochum,3,1,H,12.0,13.0,7.0,4.0,10.0,12.0,4.0,2.0,1.0,1.0,0.0,0.0
19/10/2024,14:30,Leverkusen,Ein Frankfurt,2,1,H,27.0,9.0,9.0,2.0,9.0,5.0,8.0,3.0,2.0,1.0,0.0,0.0
19/10/2024,14:30,Mainz,RB Leipzig,0,2,A,16.0,11.0,2.0,5.0,12.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0
19/10/2024,14:30,M'gladbach,Heidenheim,3,2,H,20.0,19.0,10.0,6.0,15.0,9.0,6.0,3.0,3.0,3.0,0.0,0.0
19/10/2024,17:30,Bayern Munich,Stuttgart,4,0,H,22.0,4.0,10.0,1.0,6.0,10.0,7.0,3.0,0.0,2.0,0.0,0.0
20/10/2024,14:30,Holstein Kiel,Union Berlin,0,2,A,12.0,14.0,5.0,4.0,8.0,11.0,7.0,3.0,2.0,1.0,0.0,0.0
20/10/2024,16:30,Wolfsburg,Werder Bremen,2,4,A,14.0,15.0,6.0,7.0,15.0,9.0,4.0,4.0,1.0,1.0,1.0,0.0
25/10/2024,19:30,Mainz,M'gladbach,1,1,D,23.0,9.0,6.0,5.0,16.0,16.0,2.0,4.0,3.0,2.0,0.0,0.0
26/10/2024,14:30,Augsburg,Dortmund,2,1,H,12.0,11.0,4.0,4.0,13.0,10.0,3.0,5.0,3.0,3.0,0.0,1.0
