iter	MAE
0	0.1121627272
1	0.1121520668
2	0.1121378568
3	0.1121307475
4	0.1121273662
5	0.1121202578
6	0.1121060495
7	0.1120847409
8	0.1120707108
9	0.1120565036
10	0.1120351964
11	0.1120209898
12	0.1120032336
13	0.1119996781
14	0.1119680682
15	0.1119680634
16	0.1119645086
17	0.1119538539
18	0.1119256263
19	0.1119149721
20	0.1119114183
21	0.1118901143
22	0.1118901112
23	0.1118765917
24	0.1118659385
25	0.1118590129
26	0.1118554601
27	0.111841257
28	0.1118306043
29	0.1118268659
30	0.1118233135
31	0.1118130161
32	0.1117917138
33	0.1117879853
34	0.1117597608
35	0.1117459147
36	0.1117425418
37	0.111728873
38	0.1117182328
39	0.1117111343
40	0.1117111338
41	0.1116841298
42	0.1116805825
43	0.1116805826
44	0.1116630134
45	0.1116630145
46	0.1116630167
47	0.1116630194
48	0.1116594728
49	0.1116523767
50	0.1116282273
51	0.1116072834
52	0.1116001842
53	0.1115863331
54	0.1115689401
55	0.1115618405
56	0.1115476426
57	0.1115440918
58	0.1115231472
59	0.1115231484
60	0.1115231479
61	0.1115128457
62	0.1115128456
63	0.111509474
64	0.1114969721
65	0.1114863227
66	0.1114756729
67	0.1114721256
68	0.1114684066
69	0.1114682295
70	0.1114682298
71	0.1114616457
72	0.1114414088
73	0.1114343107
74	0.1114241851
75	0.1114241845
76	0.1114069678
77	0.1113963176
78	0.1113963184
79	0.1113831564
80	0.1113618542
81	0.111361839
82	0.1113442677
83	0.111337672
84	0.1113273681
85	0.1113273674
86	0.1113103092
87	0.1112768543
88	0.1112669044
89	0.1112532354
90	0.1112496854
91	0.1112397119
92	0.1112256866
93	0.1112157342
94	0.1112086355
95	0.1112086321
96	0.1112052573
97	0.1111954768
98	0.1111822805
99	0.1111750261
100	0.111171646
101	0.111154437
102	0.1111437954
103	0.111143796
104	0.1111333214
105	0.111115571
106	0.1110976429
107	0.1110871703
108	0.1110675389
109	0.1110639895
110	0.111053515
111	0.1110357646
112	0.1110357633
113	0.1110153331
114	0.1110011332
115	0.110977482
116	0.1109705581
117	0.1109634525
118	0.110953317
119	0.1109391101
120	0.1109286381
121	0.1109220445
122	0.1109119187
123	0.1108924691
124	0.1108791203
125	0.1108583254
126	0.1108514207
127	0.1108338487
128	0.1108199973
129	0.1108135556
130	0.1108002083
131	0.1107932848
132	0.1107900783
133	0.1107799617
134	0.1107762517
135	0.1107695063
136	0.1107446982
137	0.1107413251
138	0.1107413258
139	0.1107274617
140	0.1107136242
141	0.1106868147
142	0.1106836096
143	0.110676857
144	0.1106564337
145	0.1106398646
146	0.1106065799
147	0.1106065787
148	0.110597426
149	0.1105811622
150	0.1105776127
151	0.1105776123
152	0.1105615405
153	0.1105488101
154	0.1105422166
155	0.1105317361
156	0.1105148209
157	0.1105007986
158	0.1104903164
159	0.1104875717
160	0.1104770972
161	0.1104642747
162	0.1104402937
163	0.1104079794
164	0.1103843358
165	0.1103805061
166	0.1103702018
167	0.110363448
168	0.1103462026
169	0.110336092
170	0.1103291689
171	0.1103256174
172	0.1103163202
173	0.1103127687
174	0.1103029815
175	0.1102893049
176	0.1102732109
177	0.110253415
178	0.1102429439
179	0.1102270258
180	0.1102199262
181	0.1102128265
182	0.1101891347
183	0.1101681818
184	0.1101654256
185	0.110151269
186	0.1101156628
187	0.1100883088
188	0.1100786874
189	0.1100656162
190	0.1100515936
191	0.1100412913
192	0.1100311637
193	0.1100213738
194	0.1100097872
195	0.1099851456
196	0.1099626708
197	0.1099562465
198	0.1099428737
199	0.1099335841
200	0.1099169582
201	0.1098970028
202	0.1098874931
203	0.1098803777
204	0.1098555487
205	0.109845423
206	0.1098362276
207	0.1098122255
208	0.1097857441
209	0.1097691833
210	0.109745694
211	0.1097329224
212	0.1097194286
213	0.1097020445
214	0.1096809526
215	0.1096496059
216	0.1096320018
217	0.1096086643
218	0.1095845476
219	0.1095724858
220	0.1095309311
221	0.1095106516
222	0.1094718685
223	0.1094392193
224	0.109420407
225	0.109407
226	0.109385075
227	0.1093524771
228	0.1093269264
229	0.1093098403
230	0.1092824583
231	0.1092562475
232	0.1092462453
233	0.1092173692
234	0.1091893103
235	0.1091654403
236	0.1091393619
237	0.1091139866
238	0.1090838441
239	0.1090746876
240	0.1090575835
241	0.1090487918
242	0.1090152707
243	0.1090021069
244	0.1089880959
245	0.1089718274
246	0.1089548652
247	0.1089171407
248	0.1088838645
249	0.1088743619
250	0.1088455197
251	0.1088070556
252	0.1087888573
253	0.1087888488
254	0.108771954
255	0.1087409968
256	0.1087154722
257	0.1086976621
258	0.1086669792
259	0.1086531975
260	0.1086203145
261	0.1086107595
262	0.1085781917
263	0.108552485
264	0.1085253226
265	0.1085096476
266	0.1084681623
267	0.1084415515
268	0.108428709
269	0.1084072341
270	0.1083723123
271	0.1083494016
272	0.1083160532
273	0.1082549271
274	0.1082205671
275	0.1082061111
276	0.1081921458
277	0.1081673088
278	0.1081521835
279	0.1081238005
280	0.1081104501
281	0.1080889291
282	0.1080726852
283	0.1080416134
284	0.1080281637
285	0.1080156278
286	0.1079933268
287	0.1079702484
288	0.1079515182
289	0.1079357896
290	0.1079274722
291	0.1079133148
292	0.1078913903
293	0.1078821088
294	0.1078544475
295	0.1078151296
296	0.1078059074
297	0.10780563
298	0.1077708749
299	0.1077623149
300	0.1077476389
301	0.1077215831
302	0.1077139142
303	0.1076955768
304	0.1076717544
305	0.1076435797
306	0.1076176072
307	0.1076020037
308	0.1075779245
309	0.1075634894
310	0.107553697
311	0.1075302307
312	0.107511397
313	0.1075012335
314	0.1074851784
315	0.1074708964
316	0.1074478765
317	0.1074174242
318	0.1073918069
319	0.1073770488
320	0.107367131
321	0.1073454436
322	0.1073345075
323	0.1073037797
324	0.1072730412
325	0.1072326863
326	0.1072198619
327	0.1072052416
328	0.1071839714
329	0.1071669651
330	0.1071478535
331	0.1071111903
332	0.1070897627
333	0.1070411052
334	0.1070087253
335	0.1069827357
336	0.1069453509
337	0.1069314076
338	0.1069123262
339	0.106886477
340	0.1068610403
341	0.1068425096
342	0.1068219465
343	0.1068030511
344	0.1067813624
345	0.1067691309
346	0.1067515876
347	0.1067357674
348	0.106731481
349	0.1067273925
350	0.106709562
351	0.1066895404
352	0.1066626557
353	0.1066578372
354	0.1066307964
355	0.1066065869
356	0.1065972909
357	0.1065839345
358	0.1065539714
359	0.1065441376
360	0.1065162997
361	0.1064907167
362	0.1064770925
363	0.1064566262
364	0.1064474812
365	0.1064392656
366	0.1064081579
367	0.1063896783
368	0.1063787677
369	0.1063471672
370	0.1063337013
371	0.1063224045
372	0.1063004546
373	0.1062810475
374	0.1062724477
375	0.1062507891
376	0.1062093636
377	0.1061948916
378	0.1061803346
379	0.1061535435
380	0.1061327305
381	0.1061057892
382	0.1060855669
383	0.1060533591
384	0.1060319358
385	0.1060165435
386	0.1060051269
387	0.105992331
388	0.1059804535
389	0.1059729746
390	0.1059628594
391	0.105956398
392	0.1059435012
393	0.1059334771
394	0.1059207963
395	0.1059146227
396	0.1059036509
