iter	Passed	Remaining
0	8	5041
1	11	3544
2	15	3096
3	18	2790
4	22	2652
5	25	2493
6	28	2405
7	31	2314
8	34	2237
9	37	2188
10	39	2139
11	42	2101
12	45	2070
13	48	2042
14	51	2016
15	54	2002
16	58	2002
17	61	1987
18	64	1963
19	68	1975
20	71	1978
21	74	1958
22	77	1947
23	80	1930
24	83	1913
25	85	1897
26	88	1886
27	91	1868
28	94	1852
29	96	1837
30	99	1827
31	102	1818
32	105	1818
33	108	1806
34	111	1796
35	113	1784
36	116	1772
37	119	1764
38	122	1755
39	124	1744
40	127	1733
41	129	1723
42	132	1715
43	135	1708
44	137	1701
45	140	1696
46	143	1687
47	146	1681
48	148	1672
49	151	1663
50	153	1657
51	156	1650
52	159	1643
53	161	1637
54	164	1630
55	167	1623
56	169	1616
57	172	1607
58	174	1600
59	176	1591
60	179	1582
61	182	1585
62	185	1577
63	187	1571
64	190	1563
65	192	1558
66	195	1551
67	197	1543
68	199	1536
69	201	1528
70	204	1521
71	206	1514
72	208	1507
73	211	1499
74	213	1493
75	215	1485
76	217	1478
77	220	1472
78	222	1466
79	224	1459
80	226	1453
81	229	1447
82	231	1442
83	233	1435
84	235	1429
85	238	1424
86	240	1418
87	242	1412
88	245	1407
89	247	1402
90	249	1396
91	251	1391
92	254	1385
93	256	1381
94	259	1376
95	261	1371
96	263	1366
97	265	1361
98	268	1360
99	271	1355
100	273	1350
101	275	1345
102	277	1340
103	280	1336
104	282	1330
105	284	1326
106	286	1321
107	289	1319
108	291	1314
109	294	1310
110	296	1306
111	298	1301
112	301	1297
113	303	1292
114	305	1288
115	307	1284
116	309	1279
117	312	1275
118	314	1271
119	316	1267
120	319	1263
121	321	1259
122	323	1255
123	325	1251
124	328	1247
125	330	1243
126	332	1239
127	335	1235
128	337	1232
129	339	1228
130	342	1226
131	344	1222
132	347	1219
133	350	1219
134	353	1216
135	355	1212
136	358	1210
137	360	1208
138	363	1204
139	365	1201
140	368	1200
141	371	1196
142	373	1193
143	376	1191
144	378	1188
145	381	1185
146	383	1182
147	386	1178
148	388	1175
149	391	1173
150	394	1172
151	397	1171
152	399	1168
153	402	1165
154	404	1162
155	407	1159
156	410	1157
157	412	1153
158	415	1151
159	418	1150
160	420	1147
161	424	1146
162	427	1145
163	429	1142
164	432	1139
165	434	1137
166	437	1133
167	439	1131
168	442	1128
169	444	1125
170	447	1122
171	450	1120
172	452	1117
173	454	1113
174	457	1110
175	460	1109
176	463	1106
177	465	1103
178	468	1100
179	471	1099
180	473	1095
181	476	1093
182	479	1092
183	481	1089
184	484	1087
185	487	1085
186	489	1082
187	492	1079
188	495	1077
189	497	1074
190	499	1070
191	502	1068
192	505	1064
193	507	1061
194	509	1058
195	512	1056
196	514	1053
197	517	1050
198	519	1046
199	521	1043
200	524	1040
201	526	1037
202	529	1036
203	532	1033
204	534	1030
205	537	1028
206	540	1025
207	542	1022
208	545	1019
209	547	1016
210	549	1013
211	552	1010
212	554	1007
213	556	1004
214	558	1000
215	561	997
216	563	994
217	566	991
218	568	989
219	571	986
220	573	983
221	575	980
222	578	977
223	580	974
224	582	971
225	585	968
226	587	965
227	589	962
228	592	959
229	594	956
230	596	953
231	598	950
232	601	947
233	603	944
234	606	941
235	608	938
236	610	935
237	613	932
238	615	929
239	618	927
240	620	924
241	622	921
242	625	918
243	627	916
244	630	912
245	632	910
246	635	907
247	637	905
248	640	903
249	643	900
250	645	897
251	648	895
252	651	893
253	653	890
254	656	888
255	658	885
256	661	882
257	664	880
258	666	877
259	669	875
260	671	872
261	674	870
262	677	867
263	681	867
264	684	865
265	686	862
266	689	860
267	692	857
268	694	854
269	697	852
270	701	851
271	703	848
272	706	845
273	708	843
274	711	840
275	713	837
276	716	835
277	718	832
278	721	829
279	724	828
280	727	825
281	729	822
282	731	819
283	734	817
284	736	814
285	739	812
286	741	809
287	744	806
288	746	803
289	748	800
290	751	798
291	754	795
292	757	793
293	759	790
294	761	787
